comments,sentiment
구혜선같은 여자랑 사는니 죽는데 낫다.,1
"휴유,,.<br>생긴데로 노는구만!<br>꼬리지가 눈에 비는게 없는,<br>독재자 상판대기들,,,",1
헐 변수미  놀랍다<br>여자들 한이없네<br>문제적 여자들 수두록~~,1
담배피는 년들 치고 제대로 된 년들 없음<br>분노조절 못하는데 아무남자한테 아랫도리 쉽게 대줌,1
근데 서예지가 누구입니까<br>그리고 턱쭈가리는 왜 저러죠?,1
서예지 .고현정은 ...이 두 여배우는 절데로 어디서든 <br>나오면 안될듯...ㅠ<br>무식한 여자이구먼...ㅠ<br>고현정은 이상하게 엮겨워...ㅠ,1
변수미가 누군지 모르지만 ㄱㅆㄴ 이네,1
믿을꺼는 몸밖에없는 머리에똥만찬 밑바닥인생들,1
서씨는  진짜 나오지마라...  진짜 얼굴도 성형발  쪽팔리지도안냐?,1
지가 먼디  맞춰주냐  인성은 개나주고  그냥 환자네  정신병환자,1
"변서고..,개쓰레기네요...<br>고현정이 교수?므하하하...<br>요즘은 개나소나 교수네요",1
고현정 얼굴큰 여자 일뿐<br>잘난척은 못봐줌,1
서예지 초짜시절 목소리 듣고 역했고 연기보고 역했고 얼굴보고 못생겼다 정점,1
ㅗㅗ,1
"고현정이 홍상수한테,<br>나한테 술 억지로 권하지 마라~<br>했다고, 멋있다고 물고 빠는 페미들...<br>강의실에서 담배피는 고현정한테는<br>뭐라 하실지...",1
에휴~ 얘 고현정 인성 노답 맞는것 같다.  안 나왔으면 좋겠다 못된짓은 다 하고 다니는 것 같다👎👎,1
고현정 얘는  옛날부터 정이안간다.~,1
개념이 없는거지 지밖에모르는 싸이코패스들ㅋㅋ,1
서예지 골때리네 ㅋㅋㅋㅋㅋ,1
고현정도 쓰레기..저런년 아웃,1
아가리 똥네 나것네 ㅅㄴㄷ,1
고현정 인성이 저러니 재벌가에서 못견디고 쫓겨 났겠지ㅋㅋㅋ,1
서예지는 호박이 성형해서 수박됐으면  겸손해야지 청부터 지가잘난듯 행세하네   개구리 올챙이시절  잊아뻐린  다더니,1
서예지랑 김정현은 쓰레기지,1
ㅁㅊㄴ들인줄 전혀 몰랐네 🤬,1
고현정 저아줌마 진짜 개노답이네,1
고현정 원래 돼지였나,1
서예지 거지같은 인간일세,1
김용호도 변수미까던데. 뭔가 문제많은 년인듯,1
시킨다고 하는 놈이 빙시지,1
역시 고현정 인성 😂😆😂😆,1
고현정은  넘  돼지같아서  피디가 살빼라구  햇다든데  이  사진보니   진짜   그심정  너무  이해된다,1
고현정 미틴연이네,1
토나온다 걍  몸이나팔아라 다,1
너나 잘해 이녀나ㅋ,1
근데..서예지 코 높인거 맞죠? ...,1
모던 타임즈야....<br>돈 벌려구..  이딴걸  올려대는...   너두  ~ <br> 성매매로 유명해진.. .......<br>이~ 여배우랑   같은 부류의  인간이야 ~,1
아이고 이게 다 사실인지 모르겠는데 그런데 너 지금 유튜브 올리는 너 그 주둥이 빨간 거 좀 지울 수 없냐 징그러워 죽겠다 쥐 잡아 먹었냐 담배 피는 거 나 너 주둥이 빨간 거 나 개찐도찐,1
변수미가 여배우?변비물인가..추악하다,1
남자 한번 잘만나서 팔짜 고쳐먹으려는 심보는 조선시대나 지금이나 똑같네,1
성매매가 싫으면 안하면되지 결국 돈욕심에 한거면서 속아서 했다는게 말이 되나 1000만원은 놓지기 싫고 성매매는 하기싫었다 이게 말이 된다는 소린가 다 똑같은 년들이다,1
그럼에도 조인성은 고현정 좋아 죽는데<br>어쩔~아마 뭘러도 조인성도 노답인듯;;;,1
담배피는년들은 진짜 만나지맙시다..,1
"미모 미모 그러는데 안젤리나 다닐로바를 봐라....하긴 이쁜 오징어/쭈꾸미는 개성적으로 이쁘긴 하더라,,!!",1
고현정은 얼굴이 넙대대해서 뭘해도 아줌마상이네,1
변수미가누구야?얼굴ㅈ같구만ㅋㅋ,1
고현정은 제발 안나오면 좋겠다.<br>얼굴에 심술보만 가득.<br>하는짓이 어찌나 천박하고 경박스러운지.<br>그러니 재벌가에서 못버티지 쯧,1
서예지가.피노키오처럼코수술한여자인가⁉️배우.김수현과같이드라마찍은여자⁉️그리고.고현정뚱땡이아줌마.완전한물가서.관심없씀.,1
서예지는 화장빨..성형빨,1
고현정  연기가 연기냐<br>삼성에서 받은돈  갇고 그냥 묵고살지  꼴에,1
아니 ㅅㅂ 리니지m검색했는데 이딴거뜨고지랄이야<br>고소당하기싫어 얼굴공개안하나? 알고리즘골때리네,1
ㅁㅊㄴ,1
여자 꼴초들~~~<br>냄새 드럽게 나겠네~~~,1
여자 외모보구 만나면 인생 씹창난다ㅋㅋㅋ 문신 흡연충은 그냥 걸러라,1
고현정은  결혼생활에 바람피고이혼하고위자료받을만큼받았을건데 끼가있으니 다시연예계로기어나와  꼴불견  전남편은일베새끼  가지가지한다,1
고현정이 왜 정용진부회장 이랑 이혼하고 자식또한 엄마가아닌 아빠를 선택하고 왜 손절을 했는지 담배까지 쳐피면서 여학생들이랑 호빠를 방문하면서 성차별까지하고 진짜 개념을 넘어 개새끼지 그냥 방송에 안나왔으면 좋겠다,1
이쁘면 다 용서된다 ㆍ일반인들도 이쁜것들 연예안한게 이상하지 못생긴게 인성나쁘면 더 꼴불견<br>이쁜거는 능력이다 인정할건하자,1
서예지!! 와 ㅅㅂ 이네,1
변수미 필리핀넘들에게 절라게 따이고 있겠네..,1
담배얘긴빼야지 시대가 어느땐데 남자 연예인은 꼴초가지고 ㅈㄹ안하면서 어휴,1
정용진회장 고현정 저런여자랑<br>정말 이혼잘했네!<br>인성 쓰레기 고현정!,1
고현정? 솔직히 가문이좋아? 가방끈이길어? 그저 그렇고 그렇지 .. 골초라고 하더구만 <br>수업중에도 담배를 입에물고 ..몰상식한 행동이지 전직이 뭐였더라? 티가나네 가정교육이 <br>부실한거지 이용대는 ... 저런여자를 골라가지고 평생을 후회하겠지 여자는 얼굴보다는 마음<br>서예지? 나이도 어린년이 벌써부터 남자를 조종한다?  결혼하고나면 숨도뭇쉬게 하겠지 지독한년,1
고현정이 예쁘다며 숭배하고 계속 캐스팅하고 섭외하는 이유를 모르겠다 고현정은 평범한 통통한 여자 얼굴상임 전성기시절의 90년대초반에도 그렇게 레전드 미모인양 추앙할 정도로 예뻐보이지 않음 삼성가 재벌로 시집갈만한 미모는 아님,1
고현정 인성 안좋아 보임,1
문제가 많은 녀자들!,1
"이쁘고 착한배우도 많더만,, 쟤들은 얼굴도  인성도 바닥이군요.",1
이수미 변수미 수미란 이름은 ㅆㄹㄱ들~?,1
연예인. 하고사는 사람도. 생각<br>좀해야지. 연예나해야지.   연예계<br>물먹은. 여자는. 데리고살기는. <br>생각해봐야지.  연애나. 해야지,1
인성나쁜거 보다 남자가 무능력해서 주변사람들 민폐끼친게 더 쪽 팔림,1
고현정<br>양에얼굴을한 늑대였네<br>그래서 이혼당했겠지<br>무식하고 천박하니<br>제벌가에 절대어울리지못하지...,1
아이고..  이 미친 여자들아..,1
빙시들이네.<br>연예인들 참ㅎㅎ,1
그래 성차별하는 발언이라 미안하긴한데 기집애가 담배피우는 꼬라지 솔직히 봐주기 꼴볼견이다!! <br>아무데서나 담배 쳐무는 기집애들치고 그렇게 인성 괜찮은 애들 별로 못봤다!!<br>그리고 사내 새끼들도 담배피워대는 새키들중에 아무데서나 침 틱틱뱉는 무개념 새키들도 많은거 사실이고!!<br>진짜 비흡연자로서 보자니 애새키들 더러워 보이는건 어쩔수가 없다!!,1
문자 딱봐도 서예지(펨돔) 김정현(멜섭)ㅋㅋㅋ,1
서예지 처음부터 싫었음,1
한번 걸레는 영원한 걸레여.,1
고현정이 카메라 이미지랑 실제 이미지가 극과극인 아주 더러운 케이스지,1
진짜 딱 변수미는 성괴인데 좋다고 마란 이용대도 별반 다르지 않아보임. 자녀도 데리고 와야되지 않음? 소송걸면 바로 데리고 올수 있을것 같은데,1
유튜브광고ㅅㅂ정력이던머던 ㄱㄹㄴ존나나오네,1
고현정은 머리에  똥만 들었는데  이런게 교수라니? 교수는 똥개도 되나보네..,1
여자들이 지붕없는곳에서 담배피면 풍기문란죄로 잡혀갔던 시기가 있었는데 그때가 그립다,1
혹시 이채널 영상에서 설명하시는 분 걸레인가요 아니면 채널 관계자들 단체로 어미가 뒤지셨나 하셨나 왜 연예인 사건 과장 과대포장 얘기는 그렇게 하면서 지 얼굴 당당히 못까고 허위사실에 대한 사과영상도 안올리는거지,1
여성 흡연이 많으니 출산율이 줄지 !  이런걸 모르는  나라밥먹는 xx들이 중국인들을 시민권  주자하는 개소리를  !!  나라가  어찌 될지!!!,1
서～뭐드라😁<br>서예지.꼬라지하고는➰생긴대로노내!,1
미친뇬!다시는텔레비전에서보지않았음💨,1
이용대는 자식이 이렇게 사는데  어릴때니까 신경을 좀 써 줬으면  어떨까요 아이가 무슨일을 당할것 같다 요즘 자식한테 나쁜일 많이 하잖아요,1
고현정이 언제적 몸매인가영??? 지금은 그냥 얼굴 넓적하고 떡대만 큰 남자같은 몸매인데영??ㅋ 어의가 없네영;;;,1
연예인 나름이지 위에 언급한 여자연예인 전부 페미니즘 아니 생양하치뇬 아닌가ㅋㅋ,1
셋다 개쓰레기 인증이네,1
남자 연예인 놈들도 골초라고 욕먹은 적 있냐? 뇌가 자지에 달렸나. 아 원래 없지ㅇㅇ,1
"이상하게 여자들이 저런건 놀랍지않음. 다만, 직업의식없는 김딱딱씨😱 세젤 사람보는눈 없는 이용대 전선수...어느정도 비슷한 사람하고 만나는거 아닌가? 인성이 아니면 미모라도 있던지. 뭐가아무것도없는 듣보*,..이용대전선수도 그런건지...그 부모는 앓아누웠겠다. 최고 선수로 키워놓았더니 한순간에 흐규...",1
고현정 이거는 진짜 막장인성,1
고현정 저런년이 교수라니 참 대가리 똥만들은거 같두만,1
현정아 x팔아서 쩐좀 만졌으면 그만해라<br>쓰레기짖,1
보적보,1
서예지는  그렇타치고  놀아난  남자들<br>생각이  있남?   없남?<br>ㅂㅅ,1
고현정   몰상식하네  ᆢ씨부럴,1
우울증에 남탓하면 아무 죄가없는거가?좌파새끼들끼리 살아라 착한척하면 살아라,1
도박에 빠진 여자들은 돈이 다 떨어지면  도박장 부근에서 거주하며 <br> 도박하는 남자에게 몸팔고 그돈으로 다시 도박 다시 탕진 <br> 다시 몸 파는 도박에 빠진 창녀로 전락,1
서예지가 이쁘긴 진짜 이쁜데 희대의 쌍🪁이었어. 요즘은 이쁜애들이 착하던데 쟨 왜저러냐,1
연예인 반은 술집여자들 <br>일거다<br>하는행동들이 딱 그렇다니까 ~<br>일반인들과는 틀리게 ~<br>돈만많은 남의것도 뺏어 결혼을 <br>하질않나  담배에 술이나 마시고 <br>꽐라되질않나 툭하면 성형질에 <br>그 돈 빼느라 많은 남자들과 <br>사겨되질 않나 ~남의돈 빌려쓰고 안갚질않나 <br>하는 행동들이 꼭 연예인들이나 <br>술집여자들이나 아주 똑같다,1
한마디로 다들 기생.,1
고현정은 연예인느낌이 전혀안나는 겉만 배우인느낌! 몸매관리도 안하고 동네 흔한<br>ㅆㄱㅈ없는 아줌마 느낌 발음도 부정확하고 저런 무개념 꼴초가 여배우라는 타이틀과<br>교수의 타이틀을??? 요즘에는 아예 안보이는 이유가있었고만...,1
미모 여배우?  하튼 개한민국 얼굴 이쁘장 하기만 하면 다 미모여배우라고 한다 수준 꼬라지 하고는,1
현정 ㅋㅋ 주제파악 존내못하네.,1
그래 싸구려들~<br>고현정<br>서예지<br>변ㅇ<br>이런것들 낯짝이 두꺼운건 지엄마가 이리 기른거지뭐,1
이쁘지도 않은게  지가 잘난줄  오바,1
다리도 오다리ㅣㅁ,1
맞아요. 미스코리아 나올때 아줌만줄 알았어요,1
이혼당할만한 인성이네 그얼굴로 미스코리아 이뿌지도 않으면서 운이좋아 재벌 만난거지,1
꼴깞 여배우들 싹다 중국이나 일본에 보내야,1
머 영상보면 도긴개긴인데...<br>3명다 어디 모자란 부분없는 쓰레기,1
싯팔 담배핀다고 꼴초년이라네ㅋㅋ<br>이채널도 입 놀리다 골로간다잉ㅋ,1
1. 빠가사리 성 나까마네.....2. 학력 &amp; 학폭 논란...에이....그냥 ㅆㄴ....3. 돈 많잖아? 그만 닥치고 더 이상 화면에 나오지 말고....,1
그럼 애들이니 스폰서한테 몸 대주고 힘을 얻는게 아닐까 싶네요. 그냥 걸레 양아치들,1
덩빨녀는 위자료 받은거로도 먹고 살만해서 취미로 하는것들이니 애정이  있겠나.....ㅋ<br>아니면 말고식이니....ㅋㅋㅋㅋ 누군가는 진정한 여장부라고 하더니 인성 개쓰레기였어~이혼 당하는 이유가 다 있는거야~,1
여배우가 뭔 벼슬도 아니고. ㅈ ㅈ 조선시대엔 그냥 기생들이었는데.,1
몸 팔면서 나오나벼,1
몸로비 조사 드가나요?,1
대학 수업시간때 담배폈으니 문제인겨 난독증 쿵쾅메갈아,1
서인영은 아예 대한민국을 떠나라 <br>보기만해도 재수없어,1
"서인영씨 솔로로 데뷔하실때 추신춤이 통아저씨 춤이었죠? 짧은다리, 메부리코에, 비호감스탈인데,<br>솔로데뷔에 깜놀했었네요<br> <br>김진철 쓰레기였네요.<br>저런것들이 짜웅도 잘사는스탈.",1
서인영.. 그그룹 첫방송때 왠 못난이 그지들이 나오나 했지 그룹 평균얼굴 한순간에 몰락시키는 비쥬얼 너무나대서 다 못생긴줄알았는데 서인영빼고 다 이쁘더라 또하나 예전방송에 급습하는 방송있었는데 서씨 양푼에 밥한기득 비빕거 보여주곤 어머  왠일이세요 ~  저 늘 이렇게먹어요 할때부터 서씨보단 어린 내가 노란새싹이군아 생각을 했음,1
서인영은 원래 싸가지없는 이미지때매 시청자들이 콘셉트로 인정해주고 봐줘서 예능에 나올수있던거지 그 이미지가 진짜라면 누가 저 마녀를 좋아할까ㅋㅋ,1
김 진철 인상도 드럽네,1
서인영은 남들앞에서 존나게 기잡을려고 하는년이었음 정작 남들이 보면 븅신처럼 보임,1
이휘제  그마누라   서인영  싹다왕제수  똥머리족속,1
ㅋㅋ한달만 빌려주면 괴롭혀서 자살시킬수있는데,1
ㅅĿ고r티ŀ비 매일보는데 ㅠㅠ 너무좋아서 ㅈ물이 질질흐른다 ;;진짜 개쩔긴하네 여자애들 몸매가 특히대박이네 ㅎㅎ,1
ㅅㅏ고r티ŀ비 여캠들 수위는 진짜 국보급 수위다 .. 대박이다 정말 ㅠㅠ 핑두에 몸매도지리고 섹시하기까지..,1
ㅅŁ고レㅌl비에 단백질도둑 진짜 개많음 .. 3개월째 비뇨기과 방문안해도될정도로 성욕이 막끓음,1
사고レㅌl비 보면 존슨이 진짜 흥분을 안할수가없음 .. 그냥 일반방송도 수위가 다른방송 12배로 야하네 ㅋㅋㅋ 진짜 야하긴하다,1
내가 진짜 ㅂㄱ부전끼가 좀 있었는데 ㅅL고レㅌl비 보고나서는 그런거 하나도없음 그냥 쫙쫙 존슨이 막서네 막서,1
ㅅレ고レㅌl비 여자 BJ들은 몸매가 진짜 너무좋아서 탈인듯 .. 난 슬렌더가좋은데 진짜 가슴큰애들 개많다 .. 취향바뀔듯,1
ㅅr고レㅌl비 여캠들이 남자 페티쉬를 잘 이해하는듯 발도 막 보여주고 겨드랑이도보여주고 .. 아 상상만해도 설거같네,1
ㅅㅏ고レㅌl비 뜨는 이유가있네 여캠들 수위가 진짜 말도안될정도로 좋네 ..,1
서씨는 얼굴에 써있어 싸가지없없다고,1
류담 극혐,1
서인영 십년 인가,1
신마적 현실에서도 개패고 다녔노 씹ㅋㅋ,1
철호야~~ㅋㅋ병쉰,1
서인영은 쌩양아치 제발좀 방송에 안나왔으면..,1
서인영 구토 유발자,1
"미친늠들  선배가뭔데 지랄ㄷ,ㄹ한다",1
셋다 쓰레기네 인간 쓰레기<br>영원히 매장당해서 고통당해라,1
김진철이 노가다좀 존나게뛰고 피눈물좀 흘려라 노가대와서 좀 쳐맞으면서 일해보는것도,1
서인영은 진짜 성격 바껴야됨...<br>꼴도보기싫으,1
개콘 지시끼는 25살 <br>군대는 갔다왔냐 갔었으면 거기서 쳐맞던거 개콘에서 푼거야 머야ㅂㅅ <br>맞다이까면 지가 ㅈ터지겠구만,1
서인영  쓰는 방송이나 피디가 다 골빈 빠가사리들이지,1
진심 서인영 이쁜줄 모르겠더라ㅋㅋㅋㅋㅋ얼굴 심술보 개쩔어,1
성형까지했네 ㅋㅋ,1
저런애들 좋아한다는것들때문에 상태 안좋은애들이 더 나빠진거다<br>딴따라들 왜 딴따라겠니<br>급이 낮아도 한참 낮은애들 좋아하지마...급 떨어진다,1
서인영 2nyon은 원래 쥬얼리 때부터 4가지 없다고 소문났었던 nyon인데...<br>두 번 다시 방송에 2nyon 나오는 모습 보기 싫다!,1
ㅉㅉㅉ 내 장담컨데 정신차리지 않고 저대로 늙으면 분명 추한 쓰레기 된다. 기억해라 이 말.,1
무슨 병신짓하는 게 힙한 건 줄 아네,1
탑은 이견영이지<br><br>미성년자 간강하고나서<br>성매매로 돈지랄해서<br>바꾼거 모르냐<br>그런대도 방송에 잘만 쳐 나오고<br><br>위안부 미화 화보 찍은<br>매국노 이승연도 잘만 활동하는데<br><br>서인영 따위가 1위 <br>ㅋㅋㅋ <br>강력범죄 저지르고 잘만 활동하는 연애인들 많아<br>서인영 같은 쓰레기는 명함도 못내밀어,1
서인영은 줘터져바야 정신 차리고 겸손 해질듯 ㅈㄴ 맞으면 겸손해짐,1
류담도쓰레기다,1
서인영:개꼰대에 인성 쓰레기.이휘재의 하위호환격<br>이휘재:자기보다 약해 보이는 사람한테 함부로 대하는 인간 쓰레기.심지어 초딩보다 급이 아래인 인성 쓰레기,1
니가 노무현이냐? 여자 패게....,1
서인영은 ㄹㅇ ㅋㅋㅋ주제도모르네,1
서인영은 무슨 쎈언니 컨셉인데<br>저건 쎈언니가아님ㅋㅋㅋ<br>개념없는언니임ㅋㅋ,1
김진철은 쫄쫄이입고 사타구니가리는 변태짓할때부터 보기싫었음,1
진처리 절마 떠라이 아이가?,1
이런애들은 관상만 봐도 딱 보입니다.,1
서인영이 이런 양아치년이었구나.. 무섭네..,1
서인영은 이쁘니까 뭘해도 괜찮아 . ㅈ같이생긴것들이 싸가지읍이 굴면 않되지 . 여잔 이쁘면 다됨.나한테만잘함되지,1
서인영은 그냥 양아치지~~ 저런거 실전이면1분만에 때려죽인다.  그냥 양아치 사가지일뿐~,1
서씨는 이쁘지도 않은데 왜깝치고 다녔댜...,1
졸라 하찮은 개그맨들 똥군기 잡는것 보믄 정말 과관....<br>그러니 개콘이나 웃차사 나 다 망하는거다 욤병할 개그하는 것들...,1
서인영은 진짜 개쓰레기 요즘 슬슬 기어쳐나오던데 역겨워죽겠음,1
서인영 지가 뭐 되는줄 너같은애들 룸빵가면 많다<br>ㅋㅋ,1
서인영 내앞에서 까불었음 싸대기 날라갔다.,1
존나 인성들 쓰레기네 폭행에 욕설에 ㅋㅋ<br>후배괴롭히고 그럴시간에 자기 발전을했어야지....ㅉㅉ,1
정ㅇㅅ 그놈은 학교도 제데로 못나온놈이 .. 꼴깝은 다하고 다니네,1
문재앙이 간첩인데 연예인 9할이 간첩이라고 해도 별로 안신기함,1
사실 김용호 연예부장수준이 기자들 평균수준이거나 우수한 기자들중 하나였어야 하는데 좌파가 연예문화 사회부를 장악해서 대한민국 기자들이 극좌민노총소속 언론귀족노조에 상당수 속해 있거나 기자같지도 않는 연예인이 인스타나 기타 SNS나 미디어채널에 근황 올리는 것으로 복사하고 받아적는 먹고 사는 기자가 대부분이기 때문에 이렇게 스스로 사실관계를 찾아보거나 자료를 비교분석해서 진실을 찾고 검증할려는 사명감과 책임감 정의감있는 김용호부장같은 기자가 대단해보이는 것임.<br><br>기자는 보통 일반인과는 다른 남다른 정보력과 뛰어난 통찰력으로 정보를 분석하고 자신과 치열하게 묻고 따지고 객관화시키는게 중요함 이런 기자정신있는 기자들이 없고 친정부 귀족노조에 유리한 기사내고 좌파진영에 이익이 되고 좋게 좋은거라는 식의 좌파성향 기자나 기회주의성향 기자들이 많음 아니면 아예 기자할 실력이 안되는 복사기,1
정우성이지 뭐 얼굴믿고 나대는 빨갱이,1
야...용호야!!!!!  이재명이 TV조선 반드시 폐간시킨다는데. 닌 조선일보 방가들 똥꾸멍 빨아 주면서 꿀빠는 쉐끼가 가만 있슴 되냐? 목숨을 걸고 재명이 막아야쥐....빨리빨리 목숨걸고 털어봐라~~,1
유해진 대가리에는 똥만 들어있음,1
문재인이 간첩인데 어디서찾아여ㅋㅋ청와대랑 의사당가시면 민주당빨갱이들 많아여~,1
대통령부터가 간첩인데뭘 ㅋㅋ,1
간첩신고가 괜히있겠어 ㅈㄴ많음간첩새기들,1
개쌉소리...에휴..연예기잔지..반공기잔지,1
애국자 김영호..이름만 말해 주세요 도끼로 대가리를 뽀개게,1
간첩이 어딨냐! 사기꾼같은 소설 지어낸다. 미친고 정신나간 사람. 인성ㅆ  난 민주주의를 사랑하지만 보수아니고 진보도 아닌데  광화문가면 너같은 ㅅㄲ들 보는거 얼마나 짜증나는지 모르지? 나쁘고 악의가 그득하다. 저인간...,1
그냥 호빠나 파시지,1
충분히 가능하지 <br>문재인도 간첩인데,1
거꾸로 못생겼는데 뜬 배우들 냄새가.  . .근데 유해진 왜 답을 피하지? 울 나라 국민들 인기 먹고 사는데?,1
"🍀머리💐속이🌸꽃밭. <br>👹북언| 먹을 밥🍚도 없는데, <br>👉현빈만큼 ㅋI 큰 남자가 어딨다고.",1
돈벌라고 지랄을하메 븅신새끼ㅌㅋㅋㅋㅋㅋ,1
좌파 쓰레기들  대부분 무식함,1
니얼굴이 원천봉쇠 군대는 다녀오셨나요,1
지금 대통령이 거의 간첩인데 뭐 말 다 했지,1
"이렇게 논리적으로 설명하는데 진짜 좌파 선동식 유튜버들하고 차이가 너무 난다;; 지능이 있는 애들은 연예부장 영상을 진작에 이해할 것이고, 무뇌충들은 무조건 까기 바쁘겠지.",1
통일이 말이 됨? 김정은이 자리에서 내려올 일은 없을 텐데 그 미친 싸이코 씹돼지를 지도자로 삼으라고? ㅋㅋㅋ 나 어렸을 때 이산가족 상봉이니 뭐니 했던 때가 너무 소름.,1
내가 인스타그램 northkorea  쳐서한번봤는데<br> 북한인간인지 북한서 운영하는거  같은데 죄다<br>김정은얘기 같은건데 좋아요누른 사람들이 궁긍해서  다눌러봤는데  그중에 한국인들 있었는데  다 문빠들이였음ㅋㅋ,1
김일성 개새끼,1
영화판 보면 대부분 좌파고 종북주의자들임,1
갱상도 지역주의와 일베들의 생각에 벗어나지 못한 편협주의자라는 느낌이 팍 드네,1
난 아무리 북한이랑 같이나오는 영화 재밌게봐도 현실에서는 북한사람 개싫던데.. 조선족도 싫고.. 같이일했던 경험이 잇어서 일단 걔네는 .. 탈북자도 싫고.. 그냥 할말하않.. <br>진짜 지독하고 경쟁적인 사람들임..<br>그냥 가까이 하지 않는 걸 추천..,1
좌빨이 대한민국의 주류가 되어 머지않아 공산화되면 한강이 피로 물들고 인민재판을 보며 국민들은 피눈물을 흘리리라.,1
허위사실유포죄로 감옥서  평생 살았으면 좋겠다.<br>이 빙신새끼를,1
재활용도 안되는 전형적인 기래기,1
그리좋으면북에가지 왜여기서 지랄인지 정치적전혀관심없지만 일본.북한관련은진짜짜증남,1
젤 큰간첩은 문재*아니가 문재*아들도 장난아니던데 ㅋㅋ,1
"근데 전라도도, 지금 시국이면 뭔가<br>느낄때가 분명 됬을텐데. 오로지 무조건 민주당인가.",1
당연히 아직도 문재인 지지하는거면 돈도집도없이 사는 밑바닥하류인생이거나 중국북한 간첩이거나 뇌가 없는거죠 자기재산이 잠식당하는데 아직도 지지한다고요? ㅋㅋㅋㅋㅋ 시진핑 엿처먹이시고요 니가 빠는 중국간첩 문재인 백날 빨아보세요 ㅋㅋㅋ 뭐 시민단체에 있으면 문재인 지지하는건 인정이자너,1
참!! 아직도 이런 개쓰레기들이 세상에있구나 !!! 이런 쓰레기들 주둥이를 가위로 갈기갈기 찢어버리는 법은 없나??,1
아이디 자체가 조선족 내지는 중공인 스파이  스멜,1
정우성이 간첩같다. 안그럼 저렇게 다 가진 사람이 여자가 없냐.,1
김제동이 유튜브 시작했은데<br>유재석 이효리 <br>오픈 메세지 보냈다<br>이놈들도 빨갱이 다,1
유해진 개새끼지,1
좀벌래  간첩쓰래기들  <br>이제   수면위로거의  드러났다  <br>그자를포함한   자유대한민국 <br>좀벌래들   그곳가서  살아,1
미췬 ㅅㄲ 개소리하네!!!,1
"차라리.. 문죄인에게 투표한<br>그손을~ 잘라라......<br><br>문죄인의 인사철칙 !!!!!<br>각분야의 머저리들만 발탁하여<br>요직에 꽂는다!!!    왜냐면...<br>그래야 지들말에 무조건 복종하니까 !!! 절대로 똑똑하고<br>현명한 인재는 죽어도 안뽑는다!<br>참 인재들은 옳고 그름을 판단하고 바른말을 하니까......<br>온나라에 머저리들이 수장으로<br>있으니(물론~소대가리포함!!)<br>나라꼴이... ㅉㅉㅉ<br><br>차라리... 문죄인에게 투표한<br>그~손을잘라라......<br><br>우리 아빠가 말씀하셨다!<br>죄인이는~~<br>동네 동장깜도 안된다고......<br>그전에도 한번 똑같은말씀!<br>하셨다!   &quot;노씨&quot; 한테<br>이장~깜냥도 안된다고......<br>아빠는 역시~ 선견지명이 있으셨다!!!!!  그리고 두번다~<br>집에있는 모든~TV를 포장지로<br>다 싸놓으셨다!  TV 에 나오는,<br>깜냥도 안되는  그~두놈들 꼴보기 싫어서..(덕분에<br>엄마는 드라마 하~나도<br>못보셨다!)  실제임~~!!<br><br>그래도~ 변한건 하나도없다 ㅜ<br>오히려더~~ 악화되고있다ㅜㅜ<br>화형~시켜야합니다!<br>씨도~ 남지않도록......<br>소대가리와 부엌떼기를<br><br>Joe Biden, He helped voter fraud, he&#39;s a slave to China, and ruined America. He&#39;s a coward.          Just like ~~<br>Korean president &quot;Moon&quot; !!!<br>Korean president &quot;Moon&quot; !!",1
북을 적국이라고 하지않은 이유와 지금 초등학교 교육에서 북은 나쁘게 묘사하지 않는교육을 전교조가 맡고 있으며 초대대통령과 근대화의 아버지 박정희대통령을 나쁘게 표현하고 말살정책을 펴고있습니다 이제 좌파 때려잡아야 할때가 왔다고 생각합니다,1
용호 형님 쵞오~~~~~~~~~~~~~~~!! 유해진 좌좀 빨갱이 ㅇㅈ,1
나라망해도좋다내호주머니만챙기면된다는좌빨들의 인성때문에 아닐까요?,1
생긴대로 놀고 있구려!!<br>이런자는 공개해서 매장 시켜야<br>되지않을까?,1
정말 김용회기자님 알기 쉽게 말씀해 주셨어 감사합니다 요즘 초등 학생들은 간첩이뭐예요 합니다 초등 학교에서부터 가르처야하는데 이놈의좌파 교사들 때문에 나라 올바로 세워질지 걱정이네요,1
"정치 위정자들이 아나라를  만든 썩어버린 사회를 회생할까 ? 줒은개대중, 노므식, 문죄앙 이들의  실체를 벗겨야한다. 개대중이는 전라도에선 신이지만  이나라를 망쳐놓은 대역죄인 이다.검찰, 국정원은 제자리로 찾아야함니다.",1
고갱님 보이스피싱을 하는 조선족이 친숙해서 당황하셧어요? 요거이 이미지 메이킹 아니겟슴까? <br>고저 625는 아픈욕사고 돈 받고 몸판 위안부는 만행 아닙네까? 요거이 요거이...,1
김용호 대표님 ㄱ.이러 일들은 까발려서  좌좀 연예인들을 다 말살 되길 기원합니다.,1
연예가 좌빨들이 많더군요.문학계도 저 북한이 접수 했다네.믿을 놈 없고 그 중  남은자들 몇명이 있겠지.다 돈에 매수됬겠지.유해진도 갖은 인간 .자유 대한 민국에서 자유를 만끽하며 살면서  배부르고 등 따시니 매국노가  되고 싶은게냐? .그리고 북괴뢰군이 나쁜 놈들이지 좋은 놈들이 냐.그냥 딱 봐도 알 일.,1
빨갱이 인간들 정신 똘아이  북한으로 보낼수없나,1
와~~빨갱이 판이네,1
